atga_last_6,atgf_last_6,atsa_last_6,atsf_last_6,atsta_last_6,atstf_last_6,htga_last_6,htgf_last_6,htsa_last_6,htsf_last_6,htsta_last_6,htstf_last_6,FTR
11,8,66,68,33,31,5,13,50,75,26,44,H
12,7,78,59,41,25,10,8,85,54,46,32,H
7,6,77,56,43,25,7,12,50,80,27,54,H
8,8,57,68,31,40,7,5,74,62,44,26,A
4,8,73,62,25,32,8,9,51,77,34,35,H
7,5,79,65,43,33,8,5,103,55,53,21,A
5,6,74,75,34,34,10,6,96,53,46,24,A
5,15,41,93,18,53,4,4,52,76,25,38,D
5,2,70,70,37,26,9,10,64,71,39,45,H
7,11,56,71,31,47,10,11,79,77,56,52,A
10,10,82,54,40,31,10,5,72,63,36,22,A
4,6,62,73,27,35,13,9,76,60,35,25,H
9,10,89,49,41,28,9,4,99,52,47,21,A
7,10,52,98,19,52,4,6,65,77,27,36,A
9,4,52,65,26,25,7,12,61,63,32,31,A
11,3,76,55,45,26,6,2,66,58,40,24,H
9,8,75,81,46,50,10,10,44,74,35,34,D
8,3,79,69,40,28,7,15,54,87,29,54,H
6,9,76,48,28,26,9,10,50,69,28,42,H
6,6,59,68,28,33,7,10,76,68,43,38,H
6,6,67,78,38,42,13,10,74,56,33,26,A
6,12,52,99,20,54,14,4,83,58,50,27,A
11,7,92,65,48,28,5,8,64,77,35,41,D
8,6,62,70,37,33,8,4,53,65,26,25,D
10,4,102,47,47,20,8,7,81,69,47,43,H
15,9,74,52,33,23,7,7,71,45,27,24,H
8,11,52,74,27,42,8,11,82,53,34,25,H
4,12,70,73,34,42,8,4,71,66,32,29,H
6,6,67,76,31,34,8,5,63,65,31,29,H
11,11,42,79,34,38,14,3,90,57,52,27,A
8,10,59,62,32,28,3,12,44,100,18,55,D
7,15,51,87,28,56,3,9,58,72,31,47,D
7,4,49,74,27,31,8,5,68,72,32,34,H
7,15,48,92,30,60,9,10,59,58,33,26,A
3,8,67,64,35,41,7,6,66,49,26,27,A
6,4,81,69,41,33,10,12,68,73,36,39,H
11,5,95,54,52,25,12,4,100,51,48,25,A
6,12,75,70,40,38,9,12,78,64,32,30,H
4,11,46,93,22,53,7,7,65,68,38,34,D
6,4,67,72,35,37,10,14,43,65,36,37,A
5,8,53,85,31,49,15,4,71,57,45,31,H
14,7,73,57,37,25,9,4,53,65,30,27,A
7,8,64,69,28,35,7,10,75,76,43,44,D
12,9,56,67,37,36,7,5,76,61,41,32,H
13,4,78,54,35,28,8,9,62,64,33,34,H
9,12,70,86,40,50,11,8,91,51,47,26,D
9,13,42,73,34,39,3,10,74,69,36,42,H
8,4,51,66,28,29,8,4,95,68,50,33,H
7,11,71,80,44,47,13,7,71,51,35,19,H
5,14,76,72,31,34,6,17,58,94,35,62,H
14,6,73,53,48,28,9,10,80,71,45,37,A
2,10,69,62,33,37,11,9,85,50,42,25,H
10,4,70,49,27,26,4,10,55,69,26,38,H
8,8,59,64,33,34,6,9,50,94,28,54,H
4,9,53,75,29,36,10,9,66,74,37,38,A
6,15,54,101,35,64,7,6,79,59,43,35,H
3,8,73,60,35,27,6,13,85,68,37,33,A
10,8,56,56,25,25,6,10,58,84,30,45,D
6,3,95,66,49,36,8,9,69,57,35,32,D
9,8,79,48,34,25,10,4,74,52,24,29,A
9,7,58,64,31,31,14,4,77,60,35,30,A
5,10,52,84,27,46,6,7,68,71,42,38,A
10,10,41,66,31,37,9,4,56,70,35,31,A
10,8,72,48,43,27,12,7,62,68,41,37,H
10,4,64,60,41,26,10,7,72,40,42,24,H
10,8,56,76,35,44,8,11,36,67,24,40,H
6,10,70,54,36,33,3,8,62,78,30,33,H
6,9,85,63,39,34,10,11,75,47,36,24,D
6,7,73,55,41,29,3,9,68,61,36,25,H
10,9,69,82,36,39,7,5,81,70,45,37,D
14,3,75,65,34,32,6,6,55,48,29,24,H
13,6,73,56,26,33,7,12,56,76,28,45,H
5,8,54,80,27,44,7,12,59,86,37,56,H
9,8,66,73,43,37,8,9,60,65,31,35,H
5,6,55,49,30,21,9,6,84,69,50,38,D
6,13,39,70,23,43,15,3,73,59,32,30,A
10,2,65,60,40,24,6,10,66,49,31,22,H
6,6,66,42,35,24,9,8,66,67,43,32,H
13,5,79,62,30,34,7,9,85,66,39,36,A
14,4,66,73,43,44,6,9,61,73,29,38,H
6,12,49,80,28,51,10,6,67,80,35,39,D
6,13,47,79,19,44,3,9,64,83,32,36,H
4,13,66,60,37,25,6,7,61,80,32,43,H
9,7,78,62,42,36,7,9,77,62,41,38,A
11,4,72,70,39,32,3,7,55,56,30,27,D
7,7,68,76,38,45,12,1,80,57,47,22,A
3,12,64,80,30,38,5,13,57,69,34,29,A
5,12,61,69,27,32,14,3,62,66,41,39,D
